NCRO_1000000	hsa-miR-548f-5
NCRO_1000194	hsa-miR-5581-5p
NCRO_1000195	hsa-miR-6500-5p
NCRO_1000196	hsa-miR-518e
NCRO_1000197	hsa-miR-4762
NCRO_1000198	hsa-miR-96
NCRO_1000199	hsa-miR-3918
NCRO_1000200	hsa-miR-6080
NCRO_1000201	hsa-miR-498
NCRO_1000202	hsa-miR-1225
NCRO_1000203	hsa-miR-4652-3p
NCRO_1000204	hsa-miR-585
NCRO_1000205	hsa-miR-138-1-3p
NCRO_1000206	hsa-miR-4749
NCRO_1000207	hsa-miR-7849
NCRO_1000208	hsa-miR-6760
NCRO_1000209	hsa-miR-7515
NCRO_1000210	hsa-miR-520d-3p
NCRO_1000211	hsa-miR-3137
NCRO_1000212	hsa-miR-5004
NCRO_1000213	hsa-miR-3923
NCRO_1000214	hsa-miR-4520-2
NCRO_1000215	hsa-miR-4484
NCRO_1000216	hsa-miR-518a-2
NCRO_1000217	hsa-miR-8073
NCRO_1000218	hsa-miR-3660
NCRO_1000219	hsa-miR-548e
NCRO_1000220	hsa-miR-4430
NCRO_1000221	hsa-miR-548c-5p
NCRO_1000222	hsa-miR-1307
NCRO_1000223	hsa-miR-378j
NCRO_1000224	hsa-miR-548p
NCRO_1000225	hsa-miR-554
NCRO_1000226	hsa-miR-6748-3p
NCRO_1000227	hsa-miR-133b
NCRO_1000228	hsa-miR-3130-3p
NCRO_1000229	hsa-miR-15b-3p
NCRO_1000230	hsa-miR-374a-5p
NCRO_1000231	hsa-miR-29b-3p
NCRO_1000232	hsa-miR-6862-2
NCRO_1000233	hsa-miR-626
NCRO_1000234	hsa-miR-199a-1
NCRO_1000235	hsa-miR-6823-3p
NCRO_1000236	hsa-miR-365a
NCRO_1000237	hsa-miR-497-3p
NCRO_1000238	hsa-miR-6735-5p
NCRO_1000239	hsa-miR-33a-3p
NCRO_1000240	hsa-miR-6868
NCRO_1000241	hsa-miR-4272
NCRO_1000242	hsa-miR-452-3p
NCRO_1000243	hsa-miR-4722-5p
NCRO_1000244	hsa-miR-5705
NCRO_1000245	hsa-miR-504
NCRO_1000246	hsa-miR-502-3p
NCRO_1000247	hsa-miR-1229-5p
NCRO_1000248	hsa-miR-548x-2
NCRO_1000249	hsa-miR-6872-5p
NCRO_1000250	hsa-miR-548x-5p
NCRO_1000251	hsa-miR-4285
NCRO_1000252	hsa-miR-656
NCRO_1000253	hsa-miR-6737-5p
NCRO_1000254	hsa-miR-505-3p
NCRO_1000255	hsa-miR-1272
NCRO_1000256	hsa-miR-654-5p
NCRO_1000257	hsa-miR-1231
NCRO_1000258	hsa-miR-4514
NCRO_1000259	hsa-miR-4760-5p
NCRO_1000260	hsa-miR-365b
NCRO_1000261	hsa-miR-2117
NCRO_1000262	hsa-let-7f-2
NCRO_1000263	hsa-miR-6813
NCRO_1000264	hsa-miR-99b-5p
NCRO_1000265	hsa-miR-4298
NCRO_1000266	hsa-miR-1295b
NCRO_1000267	hsa-miR-3156-2
NCRO_1000268	hsa-miR-4270
NCRO_1000269	hsa-miR-6812
NCRO_1000270	hsa-miR-369-3p
NCRO_1000271	hsa-miR-331
NCRO_1000272	hsa-miR-519c-5p
NCRO_1000273	hsa-miR-629
NCRO_1000274	hsa-miR-4772-3p
NCRO_1000275	hsa-miR-3160-5p
NCRO_1000276	hsa-miR-4801
NCRO_1000277	hsa-miR-514a-2
NCRO_1000278	hsa-miR-101-2
NCRO_1000279	hsa-miR-1273h-5p
NCRO_1000280	hsa-miR-495-5p
NCRO_1000281	hsa-miR-181b-2-3p
NCRO_1000282	hsa-miR-2276
NCRO_1000283	hsa-miR-4328
NCRO_1000284	hsa-miR-181a-2
NCRO_1000285	hsa-miR-1273a
NCRO_1000286	hsa-miR-4311
NCRO_1000287	hsa-miR-10a-5p
NCRO_1000288	hsa-miR-345-3p
NCRO_1000289	hsa-miR-4706
NCRO_1000290	hsa-miR-182-5p
NCRO_1000291	hsa-miR-374b-5p
NCRO_1000292	hsa-miR-1471
NCRO_1000293	hsa-miR-188
NCRO_1000294	hsa-let-7c-5p
NCRO_1000295	hsa-miR-939-3p
NCRO_1000296	hsa-miR-489-5p
NCRO_1000297	hsa-miR-1271-3p
NCRO_1000298	hsa-miR-7162-3p
NCRO_1000299	hsa-miR-5195-3p
NCRO_1000300	hsa-miR-3974
NCRO_1000301	hsa-miR-4742-5p
NCRO_1000302	hsa-miR-4299
NCRO_1000303	hsa-miR-8078
NCRO_1000304	hsa-miR-1305
NCRO_1000305	hsa-miR-6793-5p
NCRO_1000306	hsa-miR-3133
NCRO_1000307	hsa-miR-5000-3p
NCRO_1000308	hsa-let-7c
NCRO_1000309	hsa-miR-1973
NCRO_1000310	hsa-miR-3680-2
NCRO_1000311	hsa-miR-148a-3p
NCRO_1000312	hsa-miR-6801-5p
NCRO_1000313	hsa-miR-126
NCRO_1000314	hsa-miR-185-5p
NCRO_1000315	hsa-miR-133a-2
NCRO_1000316	hsa-miR-646
NCRO_1000317	hsa-miR-8086
NCRO_1000318	hsa-miR-6739-5p
NCRO_1000319	hsa-miR-6724-3
NCRO_1000320	hsa-miR-5571-3p
NCRO_1000321	hsa-miR-3926-1
NCRO_1000322	hsa-miR-555
NCRO_1000323	hsa-miR-4308
NCRO_1000324	hsa-miR-484
NCRO_1000325	hsa-miR-6894-5p
NCRO_1000326	hsa-miR-4696
NCRO_1000327	hsa-miR-6880
NCRO_1000328	hsa-miR-3613-5p
NCRO_1000329	hsa-miR-379-5p
NCRO_1000330	hsa-miR-6724-1
NCRO_1000331	hsa-miR-92a-1
NCRO_1000332	hsa-miR-6814-5p
NCRO_1000333	hsa-miR-1249-5p
NCRO_1000334	hsa-miR-6772-5p
NCRO_1000335	hsa-miR-6768
NCRO_1000336	hsa-miR-4782
NCRO_1000337	hsa-miR-7111
NCRO_1000338	hsa-miR-520a
NCRO_1000339	hsa-miR-4799-3p
NCRO_1000340	hsa-miR-3148
NCRO_1000341	hsa-miR-412-3p
NCRO_1000342	hsa-miR-28
NCRO_1000343	hsa-miR-1587
NCRO_1000344	hsa-miR-6782-3p
NCRO_1000345	hsa-miR-4446-3p
NCRO_1000346	hsa-miR-6747-5p
NCRO_1000347	hsa-miR-4524b-5p
NCRO_1000348	hsa-miR-6791
NCRO_1000349	hsa-miR-4526
NCRO_1000350	hsa-miR-4801
NCRO_1000351	hsa-miR-585-5p
NCRO_1000352	hsa-miR-513a-3p
NCRO_1000353	hsa-miR-6721
NCRO_1000354	hsa-miR-6088
NCRO_1000355	hsa-miR-3678-3p
NCRO_1000356	hsa-miR-6867-3p
NCRO_1000357	hsa-miR-5047
NCRO_1000358	hsa-miR-454
NCRO_1000359	hsa-miR-8075
NCRO_1000360	hsa-miR-4766-3p
NCRO_1000361	hsa-miR-8085
NCRO_1000362	hsa-miR-4420
NCRO_1000363	hsa-miR-7153
NCRO_1000364	hsa-miR-3180-2
NCRO_1000365	hsa-miR-556
NCRO_1000366	hsa-miR-200a-3p
NCRO_1000367	hsa-miR-644a
NCRO_1000368	hsa-miR-17-3p
NCRO_1000369	hsa-miR-6762-5p
NCRO_1000370	hsa-miR-8072
NCRO_1000371	hsa-miR-604
NCRO_1000372	hsa-miR-3178
NCRO_1000373	hsa-miR-6134
NCRO_1000374	hsa-miR-23a-5p
NCRO_1000375	hsa-miR-6831
NCRO_1000376	hsa-miR-381-5p
NCRO_1000377	hsa-miR-103b-2
NCRO_1000378	hsa-miR-4665-3p
NCRO_1000379	hsa-miR-326
NCRO_1000380	hsa-miR-148b
NCRO_1000381	hsa-miR-5011-3p
NCRO_1000382	hsa-miR-6087
NCRO_1000383	hsa-miR-548c
NCRO_1000384	hsa-miR-941-3
NCRO_1000385	hsa-miR-3180-4
NCRO_1000386	hsa-miR-5580
NCRO_1000387	hsa-miR-6502-5p
NCRO_1000388	hsa-miR-1301
NCRO_1000389	hsa-miR-6863
NCRO_1000390	hsa-miR-6767
NCRO_1000391	hsa-miR-6800-3p
NCRO_1000392	hsa-miR-4254
NCRO_1000393	hsa-miR-7844-5p
NCRO_1000394	hsa-miR-7160
NCRO_1000395	hsa-miR-3134
NCRO_1000396	hsa-miR-6857-5p
NCRO_1000397	hsa-miR-185
NCRO_1000398	hsa-miR-5088
NCRO_1000399	hsa-miR-3161
NCRO_1000400	hsa-miR-1208
NCRO_1000401	hsa-miR-363
NCRO_1000402	hsa-miR-4534
NCRO_1000403	hsa-miR-548w
NCRO_1000404	hsa-miR-6743-3p
NCRO_1000405	hsa-miR-7974
NCRO_1000406	hsa-miR-6132
NCRO_1000407	hsa-miR-4706
NCRO_1000408	hsa-miR-3150a
NCRO_1000409	hsa-miR-6511a-2
NCRO_1000410	hsa-miR-3671
NCRO_1000411	hsa-miR-3976
NCRO_1000412	hsa-miR-3148
NCRO_1000413	hsa-miR-187
NCRO_1000414	hsa-miR-603
NCRO_1000415	hsa-miR-548a-3p
NCRO_1000416	hsa-miR-875-5p
NCRO_1000417	hsa-miR-6835-5p
NCRO_1000418	hsa-miR-599
NCRO_1000419	hsa-miR-19b-3p
NCRO_1000420	hsa-miR-4531
NCRO_1000421	hsa-miR-4524a-5p
NCRO_1000422	hsa-miR-4516
NCRO_1000423	hsa-miR-573
NCRO_1000424	hsa-miR-6724-5p
NCRO_1000425	hsa-miR-6806
NCRO_1000426	hsa-miR-5697
NCRO_1000427	hsa-miR-6778-3p
NCRO_1000428	hsa-miR-6073
NCRO_1000429	hsa-miR-4761
NCRO_1000430	hsa-miR-5680
NCRO_1000431	hsa-miR-8088
NCRO_1000432	hsa-miR-4527
NCRO_1000433	hsa-miR-4641
NCRO_1000434	hsa-miR-4716-5p
NCRO_1000435	hsa-miR-3180
NCRO_1000436	hsa-miR-4703
NCRO_1000437	hsa-miR-3656
NCRO_1000438	hsa-miR-3591-5p
NCRO_1000439	hsa-miR-2682-3p
NCRO_1000440	hsa-miR-371a-3p
NCRO_1000441	hsa-miR-3118-1
NCRO_1000442	hsa-miR-3143
NCRO_1000443	hsa-miR-4462
NCRO_1000444	hsa-miR-6817
NCRO_1000445	hsa-miR-5186
NCRO_1000446	hsa-miR-30c-5p
NCRO_1000447	hsa-miR-6761-3p
NCRO_1000448	hsa-miR-3607-3p
NCRO_1000449	hsa-miR-3934-5p
NCRO_1000450	hsa-miR-4683
NCRO_1000451	hsa-miR-5689
NCRO_1000452	hsa-miR-4707
NCRO_1000453	hsa-miR-6505-3p
NCRO_1000454	hsa-miR-642b-5p
NCRO_1000455	hsa-miR-16-1
NCRO_1000456	hsa-miR-4770
NCRO_1000457	hsa-miR-6891-5p
NCRO_1000458	hsa-miR-5701-1
NCRO_1000459	hsa-miR-223-3p
NCRO_1000460	hsa-miR-4479
NCRO_1000461	hsa-miR-3663
NCRO_1000462	hsa-miR-500b-3p
NCRO_1000463	hsa-miR-8063
NCRO_1000464	hsa-miR-4506
NCRO_1000465	hsa-miR-4679-1
NCRO_1000466	hsa-miR-208a
NCRO_1000467	hsa-miR-4687-3p
NCRO_1000468	hsa-miR-376a-2
NCRO_1000469	hsa-miR-221-3p
NCRO_1000470	hsa-miR-4764
NCRO_1000471	hsa-miR-6856-5p
NCRO_1000472	hsa-miR-4785
NCRO_1000473	hsa-miR-1233-5p
NCRO_1000474	hsa-miR-607
NCRO_1000475	hsa-miR-548ad
NCRO_1000476	hsa-miR-6820
NCRO_1000477	hsa-miR-34a-3p
NCRO_1000478	hsa-miR-5197-5p
NCRO_1000479	hsa-miR-518a-1
NCRO_1000480	hsa-miR-4503
NCRO_1000481	hsa-miR-19a-3p
NCRO_1000482	hsa-miR-18a-5p
NCRO_1000483	hsa-miR-6893
NCRO_1000484	hsa-miR-6131
NCRO_1000485	hsa-miR-1298-5p
NCRO_1000486	hsa-miR-3943
NCRO_1000487	hsa-miR-183-5p
NCRO_1000488	hsa-miR-7-5p
NCRO_1000489	hsa-miR-3147
NCRO_1000490	hsa-miR-6508
NCRO_1000491	hsa-miR-6790-3p
NCRO_1000492	hsa-miR-8077
NCRO_1000493	hsa-miR-4795-5p
NCRO_1000494	hsa-miR-3657
NCRO_1000495	hsa-miR-628-5p
NCRO_1000496	hsa-miR-376a-1
NCRO_1000497	hsa-miR-3167
NCRO_1000498	hsa-miR-6072
NCRO_1000499	hsa-miR-3916
NCRO_1000500	hsa-miR-7107-3p
NCRO_1000501	hsa-miR-4428
NCRO_1000502	hsa-let-7e
NCRO_1000503	hsa-miR-25
NCRO_1000504	hsa-miR-3939
NCRO_1000505	hsa-miR-4430
NCRO_1000506	hsa-miR-34c
NCRO_1000507	hsa-miR-7855-5p
NCRO_1000508	hsa-miR-431-5p
NCRO_1000509	hsa-miR-98-5p
NCRO_1000510	hsa-miR-4535
NCRO_1000511	hsa-miR-4640-3p
NCRO_1000512	hsa-miR-1976
NCRO_1000513	hsa-miR-6879
NCRO_1000514	hsa-miR-4741
NCRO_1000515	hsa-miR-597-5p
NCRO_1000516	hsa-miR-1249-3p
NCRO_1000517	hsa-miR-4267
NCRO_1000518	hsa-miR-381-3p
NCRO_1000519	hsa-miR-4798-3p
NCRO_1000520	hsa-miR-4655
NCRO_1000521	hsa-miR-3677-5p
NCRO_1000522	hsa-miR-548f-3p
NCRO_1000523	hsa-miR-615-5p
NCRO_1000524	hsa-miR-383-3p
NCRO_1000525	hsa-miR-4635
NCRO_1000526	hsa-miR-30d
NCRO_1000527	hsa-miR-6780a-3p
NCRO_1000528	hsa-miR-454-3p
NCRO_1000529	hsa-miR-1281
NCRO_1000530	hsa-miR-1269b
NCRO_1000531	hsa-miR-135a-3p
NCRO_1000532	hsa-miR-6754-3p
NCRO_1000533	hsa-miR-892a
NCRO_1000534	hsa-miR-888-3p
NCRO_1000535	hsa-miR-6775-5p
NCRO_1000536	hsa-miR-222-5p
NCRO_1000537	hsa-miR-1972
NCRO_1000538	hsa-miR-138-2
NCRO_1000539	hsa-miR-5590
NCRO_1000540	hsa-miR-222-3p
NCRO_1000541	hsa-miR-4750
NCRO_1000542	hsa-miR-219a-2
NCRO_1000543	hsa-miR-4489
NCRO_1000544	hsa-miR-4650-2
NCRO_1000545	hsa-miR-4514
NCRO_1000546	hsa-miR-616
NCRO_1000547	hsa-miR-557
NCRO_1000548	hsa-miR-4779
NCRO_1000549	hsa-miR-32-3p
NCRO_1000550	hsa-miR-3913-3p
NCRO_1000551	hsa-miR-6083
NCRO_1000552	hsa-miR-4700
NCRO_1000553	hsa-miR-937
NCRO_1000554	hsa-miR-514b-5p
NCRO_1000555	hsa-miR-7114-3p
NCRO_1000556	hsa-miR-125a
NCRO_1000557	hsa-miR-4436b-3p
NCRO_1000558	hsa-miR-708-3p
NCRO_1000559	hsa-miR-515-3p
NCRO_1000560	hsa-miR-6870-5p
NCRO_1000561	hsa-miR-584
NCRO_1000562	hsa-miR-4777
NCRO_1000563	hsa-miR-760
NCRO_1000564	hsa-miR-135b
NCRO_1000565	hsa-miR-649
NCRO_1000566	hsa-miR-3174
NCRO_1000567	hsa-miR-133a-5p
NCRO_1000568	hsa-miR-6784
NCRO_1000569	hsa-miR-93
NCRO_1000570	hsa-miR-6807
NCRO_1000571	hsa-miR-922
NCRO_1000572	hsa-miR-5186
NCRO_1000573	hsa-miR-1908
NCRO_1000574	hsa-miR-151a-5p
NCRO_1000575	hsa-miR-1226-3p
NCRO_1000576	hsa-miR-128-3p
NCRO_1000577	hsa-miR-4720
NCRO_1000578	hsa-miR-490-3p
NCRO_1000579	hsa-miR-4757-5p
NCRO_1000580	hsa-miR-1273d
NCRO_1000581	hsa-miR-1288
NCRO_1000582	hsa-let-7i
NCRO_1000583	hsa-miR-1184-1
NCRO_1000584	hsa-miR-3681-3p
NCRO_1000585	hsa-miR-30c-1
NCRO_1000586	hsa-miR-509-3
NCRO_1000587	hsa-miR-4321
NCRO_1000588	hsa-miR-6836-5p
NCRO_1000589	hsa-miR-6894-3p
NCRO_1000590	hsa-miR-198
NCRO_1000591	hsa-miR-6867
NCRO_1000592	hsa-miR-487b-3p
NCRO_1000593	hsa-miR-4752
NCRO_1000594	hsa-miR-4708-5p
NCRO_1000595	hsa-miR-3183
NCRO_1000596	hsa-miR-3155b
NCRO_1000597	hsa-miR-664b
NCRO_1000598	hsa-miR-141-5p
NCRO_1000599	hsa-miR-4685-5p
NCRO_1000600	hsa-miR-6885-5p
NCRO_1000601	hsa-miR-554
NCRO_1000602	hsa-miR-15b-5p
NCRO_1000603	hsa-miR-320e
NCRO_1000604	hsa-miR-1273h-3p
NCRO_1000605	hsa-miR-1284
NCRO_1000606	hsa-miR-550b-3p
NCRO_1000607	hsa-miR-513a-5p
NCRO_1000608	hsa-miR-4321
NCRO_1000609	hsa-miR-6769b-5p
NCRO_1000610	hsa-miR-6086
NCRO_1000611	hsa-miR-6891
NCRO_1000612	hsa-miR-518e-3p
NCRO_1000613	hsa-miR-3622a
NCRO_1000614	hsa-miR-4536-3p
NCRO_1000615	hsa-miR-4442
NCRO_1000616	hsa-miR-17
NCRO_1000617	hsa-miR-382-5p
NCRO_1000618	hsa-miR-4666a-3p
NCRO_1000619	hsa-miR-4427
NCRO_1000620	hsa-miR-3065-3p
NCRO_1000621	hsa-miR-6838-3p
NCRO_1000622	hsa-miR-6787
NCRO_1000623	hsa-miR-205-5p
NCRO_1000624	hsa-miR-548au-3p
NCRO_1000625	hsa-miR-5587-5p
NCRO_1000626	hsa-miR-5701-2
NCRO_1000627	hsa-miR-2116-3p
NCRO_1000628	hsa-miR-6773-3p
NCRO_1000629	hsa-miR-490
NCRO_1000630	hsa-miR-1908-3p
NCRO_1000631	hsa-miR-3913-5p
NCRO_1000632	hsa-miR-5707
NCRO_1000633	hsa-miR-27a-5p
NCRO_1000634	hsa-miR-4434
NCRO_1000635	hsa-miR-513b-3p
NCRO_1000636	hsa-miR-374c-3p
NCRO_1000637	hsa-miR-593
NCRO_1000638	hsa-miR-208b
NCRO_1000639	hsa-miR-8064
NCRO_1000640	hsa-miR-320a
NCRO_1000641	hsa-miR-4679
NCRO_1000642	hsa-miR-24-3p
NCRO_1000643	hsa-miR-4517
NCRO_1000644	hsa-miR-6871-3p
NCRO_1000645	hsa-miR-3118-4
NCRO_1000646	hsa-miR-100-3p
NCRO_1000647	hsa-miR-6818-5p
NCRO_1000648	hsa-miR-3200-3p
NCRO_1000649	hsa-miR-455-3p
NCRO_1000650	hsa-miR-4746
NCRO_1000651	hsa-miR-4659a-3p
NCRO_1000652	hsa-miR-4269
NCRO_1000653	hsa-miR-6720-3p
NCRO_1000654	hsa-miR-4441
NCRO_1000655	hsa-miR-4778-5p
NCRO_1000656	hsa-miR-3156-1
NCRO_1000657	hsa-miR-5586
NCRO_1000658	hsa-miR-4306
NCRO_1000659	hsa-miR-4703-5p
NCRO_1000660	hsa-miR-1324
NCRO_1000661	hsa-miR-6859-1
NCRO_1000662	hsa-miR-664b-3p
NCRO_1000663	hsa-miR-4777-5p
NCRO_1000664	hsa-miR-4504
NCRO_1000665	hsa-miR-4669
NCRO_1000666	hsa-miR-3186
NCRO_1000667	hsa-miR-6795-5p
NCRO_1000668	hsa-miR-875
NCRO_1000669	hsa-miR-5587-3p
NCRO_1000670	hsa-miR-371b-3p
NCRO_1000671	hsa-miR-184
NCRO_1000672	hsa-miR-148a-5p
NCRO_1000673	hsa-miR-614
NCRO_1000674	hsa-miR-4537
NCRO_1000675	hsa-miR-431
NCRO_1000676	hsa-miR-135a-1
NCRO_1000677	hsa-miR-1193
NCRO_1000678	hsa-miR-6858-5p
NCRO_1000679	hsa-miR-4735
NCRO_1000680	hsa-miR-135a-2
NCRO_1000681	hsa-miR-4660
NCRO_1000682	hsa-miR-34c-3p
NCRO_1000683	hsa-miR-1234
NCRO_1000684	hsa-miR-450b-3p
NCRO_1000685	hsa-miR-3938
NCRO_1000686	hsa-miR-6872-3p
NCRO_1000687	hsa-miR-1282
NCRO_1000688	hsa-miR-211-5p
